flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
XQ 497,Antalya,SunExpress - Günes Ekspres Havacilik,,,2025-06-22
BT 849,Split,Air Baltic Corporation,05:05,,2025-06-22
BT 362,Riia,Air Baltic Corporation,05:40,,2025-06-22
LO 792,Varssavi,LOT - Polish Airlines,05:45,,2025-06-22
BT 865,Nice,Air Baltic Corporation,06:00,,2025-06-22
LX 1317,Zürich,Swiss,06:00,,2025-06-22
AY 1036,Helsingi,Finnair,06:00,,2025-06-22
LH 885,Frankfurt,Deutsche Lufthansa,06:00,,2025-06-22
BT 857,Amsterdam,Air Baltic Corporation,06:10,,2025-06-22
SK 1791,Kopenhaagen,Scandinavian Airlines System (SAS),06:35,,2025-06-22
SK 1771,Stockholm,Scandinavian Airlines System (SAS),07:15,,2025-06-22
HN 3415,Tivat,Heston Airlines,07:30,,2025-06-22
BT 887,Heraklion,Air Baltic Corporation,07:55,,2025-06-22
AY 1012,Helsingi,Finnair,08:00,,2025-06-22
LO 790,Varssavi,LOT - Polish Airlines,08:55,,2025-06-22
BT 312,Riia,Air Baltic Corporation,09:05,,2025-06-22
AY 1014,Helsingi,Finnair,10:00,,2025-06-22
FR 8903,Milano,Ryanair,10:10,,2025-06-22
SK 749,Stockholm,Scandinavian Airlines System (SAS),11:00,,2025-06-22
FR 2224,London,Ryanair,11:25,,2025-06-22
AY 1016,Helsingi,Finnair,11:35,,2025-06-22
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,,2025-06-22
TK 1422,Istanbul,Turkish Airlines,12:35,,2025-06-22
AY 1018,Helsingi,Finnair,12:55,,2025-06-22
BT 811,Kopenhaagen,Air Baltic Corporation,13:05,,2025-06-22
FR 4645,Stockholm,Ryanair,13:25,,2025-06-22
BT 821,Berliin,Air Baltic Corporation,13:55,,2025-06-22
BT 859,Amsterdam,Air Baltic Corporation,14:05,,2025-06-22
LO 786,Varssavi,LOT - Polish Airlines,14:20,,2025-06-22
LH 881,Frankfurt,Deutsche Lufthansa,14:25,,2025-06-22
AY 1020,Helsingi,Finnair,14:55,,2025-06-22
BT 316,Riia,Air Baltic Corporation,15:30,,2025-06-22
FR 5694,Dublin,Ryanair,15:35,,2025-06-22
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:45,,2025-06-22
SK 1745,Stockholm,Scandinavian Airlines System (SAS),16:20,,2025-06-22
FR 2733,Berliin,Ryanair,16:20,,2025-06-22
EW 4281,Praha,Eurowings,16:40,,2025-06-22
AY 1022,Helsingi,Finnair,16:45,,2025-06-22
OJ 225,Kärdla,Nyxair,17:00,,2025-06-22
AY 1024,Helsingi,Finnair,17:20,,2025-06-22
BT 853,Brüssel,Air Baltic Corporation,17:30,,2025-06-22
BT 863,Pariis,Air Baltic Corporation,17:45,,2025-06-22
LO 788,Varssavi,LOT - Polish Airlines,18:25,,2025-06-22
OJ 207,Kuressaare,Nyxair,18:30,,2025-06-22
LH 883,Frankfurt,Deutsche Lufthansa,19:00,,2025-06-22
BT 827,München,Air Baltic Corporation,19:00,,2025-06-22
BT 815,Oslo,Air Baltic Corporation,20:45,,2025-06-22
SK 1749,Stockholm,Scandinavian Airlines System (SAS),20:50,,2025-06-22
W9 5446,London,Wizz Air UK,21:10,,2025-06-22
BT 318,Riia,Air Baltic Corporation,21:25,,2025-06-22
BT 906,Vilnius,Air Baltic Corporation,22:25,,2025-06-22
AY 1032,Helsingi,Finnair,22:35,,2025-06-22
FR 4623,Stockholm,Ryanair,23:55,,2025-06-22
U5 7223,Hurghada,SkyUp MT,04:25,,2025-02-22
QU 7221,Hurghada,Skyline Express Airline,04:55,,2025-02-22
BT 362,Riia,Air Baltic Corporation,05:30,,2025-02-22
