flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
XQ 497,Antalya,SunExpress - Günes Ekspres Havacilik,04:25,N/A,2024-08-24
CAI 528,Antalya,Corendon Airlines,04:35,N/A,2024-08-24
STM 3461,Antalya,Skystream Airlines,05:30,N/A,2024-08-24
BT 362,Riia,Air Baltic Corporation,05:35,N/A,2024-08-24
LO 792,Varssavi (Chopin),LOT - Polish Airlines,05:50,N/A,2024-08-24
AY 1036,Helsingi,Finnair,06:00,N/A,2024-08-24
LH 885,Frankfurt,Deutsche Lufthansa,06:10,N/A,2024-08-24
SK 1783,Stockholm (Arlanda),Scandinavian Airlines System (SAS),06:25,N/A,2024-08-24
AY 1012,Helsingi,Finnair,06:55,N/A,2024-08-24
BT 847,Dubrovnik,Air Baltic Corporation,07:20,N/A,2024-08-24
BT 823,München,Air Baltic Corporation,07:20,N/A,2024-08-24
BT 857,Amsterdam (Schiphol),Air Baltic Corporation,07:30,N/A,2024-08-24
SK 1771,Stockholm (Arlanda),Scandinavian Airlines System (SAS),08:30,N/A,2024-08-24
BT 312,Riia,Air Baltic Corporation,09:10,N/A,2024-08-24
OJ 223,Kärdla,Nyxair,09:15,N/A,2024-08-24
FR 736,Viin,Ryanair,09:45,N/A,2024-08-24
AY 1014,Helsingi,Finnair,09:55,N/A,2024-08-24
OJ 201,Kuressaare,Nyxair,10:05,N/A,2024-08-24
AY 1016,Helsingi,Finnair,11:45,N/A,2024-08-24
DY 1061,Oslo,Norwegian Air Shuttle AOC,12:10,N/A,2024-08-24
AY 1018,Helsingi,Finnair,12:55,N/A,2024-08-24
FR 5694,Dublin,Ryanair,13:25,N/A,2024-08-24
BT 879,Malaga,Air Baltic Corporation,13:35,N/A,2024-08-24
LH 881,Frankfurt,Deutsche Lufthansa,13:45,N/A,2024-08-24
LO 786,Varssavi (Chopin),LOT - Polish Airlines,14:20,N/A,2024-08-24
SK 1745,Stockholm (Arlanda),Scandinavian Airlines System (SAS),14:30,N/A,2024-08-24
AY 1020,Helsingi,Finnair,14:55,N/A,2024-08-24
BT 314,Riia,Air Baltic Corporation,15:20,N/A,2024-08-24
BT 811,Kopenhaagen,Air Baltic Corporation,15:20,N/A,2024-08-24
HN 3471,Heraklion,Heston Airlines,15:35,N/A,2024-08-24
BT 871,London (Gatwick),Air Baltic Corporation,15:55,N/A,2024-08-24
AY 1022,Helsingi,Finnair,16:35,N/A,2024-08-24
AY 1024,Helsingi,Finnair,17:20,N/A,2024-08-24
FR 4623,Stockholm (Arlanda),Ryanair,17:30,N/A,2024-08-24
BT 845,Burgas,Air Baltic Corporation,18:10,N/A,2024-08-24
LH 883,Frankfurt,Deutsche Lufthansa,18:25,N/A,2024-08-24
LO 788,Varssavi (Chopin),LOT - Polish Airlines,18:30,N/A,2024-08-24
LH 2405,München,Deutsche Lufthansa,19:05,N/A,2024-08-24
TK 1424,Istanbul,Turkish Airlines,19:40,N/A,2024-08-24
FR 330,Veneetsia-Treviso,Ryanair,20:10,N/A,2024-08-24
BT 889,Malta,Air Baltic Corporation,21:00,N/A,2024-08-24
BT 318,Riia,Air Baltic Corporation,21:40,N/A,2024-08-24
AY 1032,Helsingi,Finnair,22:20,N/A,2024-08-24
FR 2224,London (Stansted),Ryanair,22:30,N/A,2024-08-24
